Phrase,target
The ability,False
Knowledge,False
information,True
others,False
equipment,True
principles,True
This,False
people,True
methods,True
materials,True
ideas,False
that,False
time,True
objects,False
procedures,True
machines,True
processes,True
problems,False
performance,True
legs,False
systems,True
actions,False
services,True
data,True
rules,False
differences,True
the environment,True
events,False
you,False
they,False
things,False
techniques,True
it,False
writing,True
relation,False
products,True
arms,False
-,False
benefits,True
It,False
changes,True
something,False
laws,True
guidance,True
devices,True
customers,True
software,True
resources,True
a problem,False
your arm,False
tools,True
which,False
words,False
what,False
your hand,False
maintenance,True
mail,False
their minds,False
vehicles,True
the work,False
the whole body,False
treatment,True
interactions,False
uses,True
indicators,True
them,False
sounds,False
hands,False
money,True
goods,True
general rules,False
functions,True
foot,False
drawings,True
distribution,True
direction,True
your arms,False
details,False
your body,False
grammar,True
motion,False
sound,False
production,True
specifications,True
spelling,True
similarities,True
structures,True
sense,False
subordinates,True
costs,True
repair,True
technology,True
telephone,True
quality,True
programs,True
the basis,False
the fingers,False
muscle force,True
the hand,False
the meaning,False
the movement,False
the organization,False
pictures,False
person,False
the presence,False
the public,False
the relative costs,True
the speed,True
operations,True
the structure,False
numbers,False
cultures,False
yourself,False
an object,False
a machine,True
activities,False
conclusions,True
applications,True
content,False
composition,False
computers,True
court procedures,True
all relevant sources,False
strategies,True
structure,False
algebra,True
stores,True
substances,True
supervisors,True
switching,False
strategic planning,True
statistics,True
storage / handling techniques,True
stenography,True
system performance,True
state,False
standards,True
sprinting,False
spoken words,False
alternative solutions,False
speech,False
alternative ways,False
specific problems,True
specific goals,False
sources,False
symptoms,True
tactics,False
aircraft,True
the arms,False
the democratic political process,True
the correct response,True
the controls,True
the construction,True
the chemical processes,True
the chemical composition,True
the cause,False
the body,False
the best solution,True
the best people,True
ability,False
the audience,False
the assessment,True
the appropriate use,False
an organization,True
the analysis,True
the activities,False
the actions,False
the English language,True
tests,True
administrative and office procedures,True
telecommunications systems,True
agency rules,True
"air, rail, sea, road",True
"technical , systems- , or process - related topics",True
team members,False
teaching,True
tasks,False
"sound , light , picture",True
solutions,True
an unstable position,True
reasons,False
resource allocation,True
resistance,False
reporting,True
arithmetic,True
religions,False
relevant information,True
relevant equipment,False
relationships,True
arm,False
related information,True
rehabilitation,True
regulations,True
records,True
reasoning,True
the developmental needs,True
raw materials,True
rail,False
questions,False
quantities,True
quality standards,True
quality control,True
artistic contributions,True
psychological research methods,True
property,True
properties,True
pronunciation,False
banking,True
programming,True
approaches,True
respect,False
response,False
restaurants,True
animal,True
societal trends,True
skills,False
sizes,True
situation,False
another person,False
short bursts,False
shades,False
several objects,False
sets,False
set,False
answers,False
separate parts,True
sentences,False
anticipation,True
selection,False
seemingly unrelated events,True
sea,False
sculpture,False
scientific rules,True
scene,False
sales techniques,True
sales control systems,True
routine maintenance,True
roads,False
road,False
results,True
the design,True
the distance,False
the differences,False
weaknesses,False
watercraft,True
visual arts,False
very small objects,False
a given topic,False
various purposes,False
various goods,True
values,True
a glare,False
user needs,True
unusual or clever ideas,True
two or more movements,True
two or more limbs,False
two or more different signals,True
two or more activities,True
two legs,False
treatment alternatives,True
a group,False
transmission,False
transformations,False
transcription,True
training effects,True
training / instructional methods,True
training,True
touch,False
torso,False
a job,False
a known pattern,True
ways,False
a foreign ( non - English ) language,True
the direction,False
what kind,False
your work,False
your whole body,False
your movements,False
your location,False
your job,False
The things,False
your body balance,True
This ability,False
This information,True
a certain order,False
your abdominal and lower back muscles,True
a design,True
written sentences,False
written or electronic / magnetic form,True
written form,False
"written , oral , and visual media",True
a distance,True
wrists,False
works,False
workplace terminology,True
workers,False
work - related documents,False
a few feet,True
word processing,True
word,False
wiring,True
a figure,True
thinking,False
a moving object,True
these expenditures,True
a number,False
the protection,False
the problem,False
a sound,False
the practical application,True
the points,False
a specific rule,False
the observer,False
the number,False
the needs,False
the needed tools,False
a system,True
the measurement,True
a task,False
the kind,False
the job,False
the information,False
the implications,False
a topic,False
the goals,True
a vehicle,True
the financial markets,True
the features,False
the eyes,False
a work activity,False
the effective manufacture,True
the educational needs,False
production techniques,True
a single source,True
a signal,False
the right mathematical methods,True
a presented object,True
their tissues,True
their physical characteristics,False
a period,False
their knowledge,False
their interrelationships,False
their interactions,False
their impact,False
their history,True
their designs,True
their causes,False
their applications,True
a piece,False
the value,False
the same time,False
the underlying principles,True
the tools,False
the time,False
the theory,True
the system,True
a relationship,False
the strengths,False
the strategies,True
the spending,True
a remembered object,True
the speech,False
the situation,False
behavior,False
production methods,True
production processes,True
human behavior,True
historical events,True
highways,True
