word,false/true
Administered,
Analyzed,TRUE
Assigned,TRUE
Chaired,TRUE
Consolidated,TRUE
Contracted,TRUE
Coordinated,TRUE
Delegated,TRUE
Developed,TRUE
Directed,TRUE
Evaluated,TRUE
Executed,TRUE
Organized,TRUE
Oversaw,TRUE
Planned,TRUE
Prioritized,TRUE
Produced,TRUE
Recommended,TRUE
Reorganized,TRUE
Reviewed,TRUE
Scheduled,TRUE
Supervised,TRUE
Administered,TRUE
Allocated,TRUE
Analyzed,TRUE
Appraised,TRUE
Audited,TRUE
Balanced,TRUE
Budgeted,TRUE
Calculated,TRUE
Computed,TRUE
Developed,TRUE
Managed,TRUE
Planned,TRUE
Projected,TRUE
Researched,TRUE
Addressed,TRUE
Arbitrated,TRUE
Arranged,TRUE
Authored,TRUE
Co-authored,TRUE
Collaborated,TRUE
Corresponded,TRUE
Developed,TRUE
Directed,TRUE
Drafted,TRUE
Enlisted,TRUE
Formulated,TRUE
Influenced,TRUE
Interpreted,TRUE
Lectured,TRUE
Mediated,TRUE
Moderated,TRUE
Negotiated,TRUE
Persuaded,TRUE
Promoted,TRUE
Proposed,TRUE
Publicized,TRUE
Reconciled,TRUE
Recruited,TRUE
Spoke,TRUE
Translated,TRUE
Wrote,TRUE
Clarified,TRUE
Collected,TRUE
Critiqued,TRUE
Diagnosed,TRUE
Evaluated,TRUE
Examined,TRUE
Extracted,TRUE
Identified,TRUE
Inspected,TRUE
Inspired,TRUE
Interpreted,TRUE
Interviewed,TRUE
Investigated,TRUE
Organized,TRUE
Reviewed,TRUE
Summarized,TRUE
Surveyed,TRUE
Systematized,TRUE
Assembled,TRUE
Built,TRUE
Calculated,TRUE
Computed,TRUE
Designed,TRUE
Devised,TRUE
Engineered,TRUE
Fabricated,TRUE
Maintained,TRUE
Operated,TRUE
Pinpointed,TRUE
Programmed,TRUE
Remodeled,TRUE
Repaired,TRUE
Solved,TRUE
Adapted,TRUE
Advised,TRUE
Clarified,TRUE
Coached,TRUE
Communicated,TRUE
Conducted,TRUE
Coordinated,TRUE
Developed,TRUE
Enabled,TRUE
Encouraged,TRUE
Evaluated,TRUE
Explained,TRUE
Facilitated,TRUE
Guided,TRUE
Informed,TRUE
Instructed,TRUE
Lectured,TRUE
Persuaded,TRUE
Set goals,TRUE
Stimulated,TRUE
Taught,TRUE
Trained,TRUE
Acted,TRUE
Conceptualized,TRUE
Created,TRUE
Customized,TRUE
Designed,TRUE
Developed,TRUE
Directed,TRUE
Established,TRUE
Fashioned,TRUE
Illustrated,TRUE
Instituted,TRUE
Integrated,TRUE
Performed,TRUE
Planned,TRUE
Proved,TRUE
Revised,TRUE
Revitalized,TRUE
Set up,TRUE
Shaped,TRUE
Streamlined,TRUE
Structured,TRUE
Tabulated,TRUE
Validated,TRUE
Assessed,TRUE
Assisted,TRUE
Clarified,TRUE
Coached,TRUE
Counseled,TRUE
Demonstrated,TRUE
Diagnosed,TRUE
Educated,TRUE
Facilitated,TRUE
Familiarized,TRUE
Guided,TRUE
Inspired,TRUE
Motivated,TRUE
Participated,TRUE
Provided,TRUE
Referred,TRUE
Rehabilitated,TRUE
Reinforced,TRUE
Represented,TRUE
Supported,TRUE
Taught,TRUE
Trained,TRUE
Verified,TRUE
Approved,TRUE
Arranged,TRUE
Catalogued,TRUE
Classified,TRUE
Collected,TRUE
Compiled,TRUE
Dispatched,TRUE
Executed,TRUE
Filed,TRUE
Generated,TRUE
Implemented,TRUE
Inspected,TRUE
Monitored,TRUE
Operated,TRUE
Ordered,TRUE
Organized,TRUE
Prepared,TRUE
Processed,TRUE
Purchased,TRUE
Recorded,TRUE
Retrieved,TRUE
Screened,TRUE
Specified,TRUE
Systematized,TRUE
Accelerated,TRUE
Achieved,TRUE
Attained,TRUE
Completed,TRUE
Conceived,TRUE
Convinced,TRUE
Discovered,TRUE
Doubled,TRUE
Effected,TRUE
Eliminated,TRUE
Expanded,TRUE
Expedited,TRUE
Founded,TRUE
Improved,TRUE
Increased,TRUE
Initiated,TRUE
Innovated,TRUE
Introduced,TRUE
Invented,TRUE
Launched,TRUE
Mastered,TRUE
Originated,TRUE
Overcame,TRUE
Overhauled,TRUE
Pioneered,TRUE
Reduced,TRUE
Resolved,TRUE
Revitalized,TRUE
Spearheaded,TRUE
Strengthened,TRUE
Transformed,TRUE
Upgraded,TRUE
in time,FALSE
in demand,FALSE
in of focus,FALSE
in an uproar,FALSE
in answer to,FALSE
in anticipation of,FALSE
in arrears,FALSE
in danger,FALSE
in debt,FALSE
in decline,FALSE
in defense of,FALSE
in detail,FALSE
in disgrace,FALSE
in disguise,FALSE
in fact,FALSE
in fairness to,FALSE
in favor of,FALSE
in fear of,FALSE
